year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2015,Jongno-gu,14,288,"6,084","3,200","2,884",475,61,414,69,33,36,"1,150",979,122,106
2015,Jung-gu,12,247,"5,739","2,857","2,882",412,65,347,77,40,37,946,978,117,98
2015,Yongsan-gu ,15,369,"8,210","4,159","4,051",612,71,541,73,36,37,"1,431","1,417",190,117
2015,Seongdong-gu,20,569,"12,641","6,420","6,221",939,115,824,116,60,56,"2,166","2,150",224,222
2015,Gwangjin-gu,22,663,"15,760","8,045","7,715","1,049",141,908,125,62,63,"2,759","2,606",247,203
2015,Dongdaemun-gu,21,629,"14,916","7,705","7,211",975,137,838,117,61,56,"2,517","2,597",280,210
2015,Jungnang-gu,23,718,"16,472","8,404","8,068","1,127",153,974,121,56,65,"2,868","2,837",268,273
2015,Seongbuk-gu,29,949,"23,306","12,100","11,206","1,473",246,"1,227",158,77,81,"3,846","3,897",338,302
2015,Gangbuk-gu,14,491,"11,879","6,081","5,798",795,154,641,80,42,38,"2,195","1,857",205,149
2015,Dobong-gu,23,749,"17,408","8,937","8,471","1,114",216,898,117,59,58,"3,074","2,829",276,217
2015,Nowon-gu,42,"1,301","31,048","15,980","15,068","1,949",370,"1,579",238,112,126,"5,758","4,889",484,363
2015,Eunpyeong-gu,30,984,"23,918","12,421","11,497","1,519",217,"1,302",160,82,78,"4,197","3,945",399,298
2015,Seodaemun-gu,18,563,"13,171","6,620","6,551",881,126,755,109,52,57,"2,330","2,139",187,179
2015,Mapo-gu,22,720,"17,117","8,788","8,329","1,174",134,"1,040",115,50,65,"2,681","2,922",241,212
2015,Yangcheon-gu,30,"1,024","25,237","13,141","12,096","1,526",185,"1,341",167,76,91,"4,822","4,078",355,287
2015,Gangseo-gu,36,"1,177","27,960","14,259","13,701","1,778",262,"1,516",193,86,107,"4,745","4,766",418,335
2015,Guro-gu,24,814,"19,363","9,987","9,376","1,298",188,"1,110",121,51,70,"3,073","3,494",309,233
2015,Geumcheon-gu,17,430,"9,610","4,898","4,712",718,113,605,87,39,48,"1,573","1,550",193,144
2015,Yeongdeungpo-gu,23,676,"15,078","7,940","7,138","1,117",132,985,125,60,65,"2,397","2,589",300,214
2015,Dongjak-gu,21,698,"17,474","9,059","8,415","1,115",165,950,118,54,64,"2,921","2,908",246,209
2015,Gwanak-gu,22,744,"17,747","9,174","8,573","1,227",148,"1,079",116,47,69,"3,048","3,015",283,223
2015,Seocho-gu,24,839,"22,817","11,706","11,111","1,289",130,"1,159",133,53,80,"3,802","3,949",304,210
2015,Gangnam-gu,33,948,"24,007","12,569","11,438","1,556",132,"1,424",167,72,95,"4,295","3,987",443,355
2015,Songpa-gu,38,"1,293","32,093","16,608","15,485","2,085",218,"1,867",197,81,116,"5,673","5,201",459,359
2015,Gang Dong-gu,26,897,"21,620","11,370","10,250","1,424",171,"1,253",133,59,74,"3,799","3,679",348,238
2016,Seoul,601,"18,621","436,121","224,415","211,706","29,448","3,926","25,522","3,176","1,470","1,706","79,123","69,944","7,145","5,812"
2016,Jongno-gu,13,268,"5,686","2,969","2,717",451,59,392,56,22,34,"1,097",875,112,98
2016,Jung-gu,12,244,"5,474","2,700","2,774",405,61,344,72,40,32,959,882,117,98
2016,Yongsan-gu ,15,366,"7,923","4,052","3,871",604,73,531,65,25,40,"1,331","1,285",190,117
2016,Seongdong-gu,21,577,"12,352","6,303","6,049",963,111,852,115,62,53,"2,076","1,995",201,234
2016,Gwangjin-gu,22,655,"15,327","7,787","7,540","1,041",143,898,125,63,62,"2,703","2,434",227,203
2016,Dongdaemun-gu,21,615,"14,212","7,349","6,863",951,125,826,120,68,52,"2,604","2,347",281,210
2016,Jungnang-gu,23,699,"15,779","8,054","7,725","1,103",149,954,123,55,68,"2,860","2,597",266,273
2016,Seongbuk-gu,29,926,"22,467","11,618","10,849","1,459",236,"1,223",158,69,89,"3,956","3,592",338,302
2016,Gangbuk-gu,14,484,"11,225","5,716","5,509",761,147,614,79,38,41,"2,207","1,778",179,149
2016,Dobong-gu,23,736,"16,760","8,625","8,135","1,087",203,884,120,55,65,"3,069","2,715",278,217
2016,Nowon-gu,42,"1,277","29,482","15,138","14,344","1,915",361,"1,554",228,114,114,"5,869","4,336",484,364
2016,Eunpyeong-gu,30,966,"23,037","11,949","11,088","1,491",213,"1,278",152,79,73,"4,201","3,738",394,299
2016,Seodaemun-gu,19,602,"13,331","6,694","6,637",941,128,813,116,55,61,"2,374","2,217",198,195
2016,Mapo-gu,22,711,"16,361","8,353","8,008","1,164",131,"1,033",111,48,63,"2,971","2,642",227,212
2016,Yangcheon-gu,30,"1,020","24,825","12,890","11,935","1,536",184,"1,352",164,78,86,"4,846","3,614",355,287
2016,Gangseo-gu,36,"1,168","27,048","13,823","13,225","1,774",249,"1,525",190,87,103,"4,790","4,420",416,344
2016,Guro-gu,24,818,"19,143","9,812","9,331","1,308",182,"1,126",122,51,71,"3,003","3,330",308,233
2016,Geumcheon-gu,17,422,"9,189","4,681","4,508",702,107,595,83,36,47,"1,651","1,514",192,144
2016,Yeongdeungpo-gu,23,670,"14,449","7,583","6,866","1,099",135,964,121,54,67,"2,451","2,401",300,215
2016,Dongjak-gu,21,685,"16,887","8,734","8,153","1,099",151,948,117,59,58,"2,904","2,813",247,209
2016,Gwanak-gu,22,735,"16,883","8,669","8,214","1,198",143,"1,055",109,47,62,"3,000","2,733",278,224
2016,Seocho-gu,24,853,"22,595","11,569","11,026","1,323",125,"1,198",133,57,76,"3,970","3,661",304,212
2016,Gangnam-gu,33,956,"24,190","12,671","11,519","1,573",135,"1,438",173,74,99,"4,713","3,709",442,356
2016,Songpa-gu,39,"1,302","31,048","16,003","15,045","2,106",211,"1,895",199,76,123,"5,693","5,079",464,380
2016,Gang Dong-gu,26,866,"20,448","10,673","9,775","1,394",164,"1,230",125,58,67,"3,825","3,237",349,239
2017,Seoul,603,"18,625","428,333","220,464","207,869","29,191","3,870","25,321","3,114","1,381","1,733","75,440","72,529","7,209","5,848"
2017,Jongno-gu,13,276,"5,561","2,864","2,697",466,69,397,54,21,33,"1,032",927,117,96
2017,Jung-gu,12,247,"5,283","2,613","2,670",398,63,335,73,39,34,916,858,117,98
2017,Yongsan-gu ,15,359,"7,624","3,906","3,718",581,65,516,67,29,38,"1,348","1,250",189,117
2017,Seongdong-gu,21,581,"12,047","6,150","5,897",954,119,835,111,53,58,"2,113","2,105",200,234
2017,Gwangjin-gu,22,652,"15,029","7,726","7,303","1,034",141,893,123,65,58,"2,674","2,560",227,203
2017,Dongdaemun-gu,21,609,"13,930","7,215","6,715",938,116,822,117,65,52,"2,320","2,394",277,210
2017,Jungnang-gu,23,700,"15,419","7,906","7,513","1,087",157,930,120,53,67,"2,683","2,654",266,273
2017,Seongbuk-gu,29,907,"21,897","11,265","10,632","1,399",227,"1,172",157,64,93,"3,776","3,727",339,302
2017,Gangbuk-gu,14,472,"10,878","5,540","5,338",729,142,587,79,34,45,"1,987","1,792",179,150
2017,Dobong-gu,23,726,"16,242","8,381","7,861","1,061",200,861,116,52,64,"2,954","2,740",279,219
2017,Nowon-gu,42,"1,245","28,364","14,557","13,807","1,874",357,"1,517",222,105,117,"5,585","4,474",484,367
2017,Eunpyeong-gu,30,956,"22,409","11,596","10,813","1,452",194,"1,258",155,70,85,"3,904","3,801",395,299
2017,Seodaemun-gu,19,589,"13,193","6,698","6,495",904,118,786,103,48,55,"2,318","2,286",213,196
2017,Mapo-gu,22,700,"15,850","8,092","7,758","1,150",140,"1,010",112,45,67,"2,720","2,712",227,213
2017,Yangcheon-gu,30,"1,029","24,526","12,695","11,831","1,540",175,"1,365",159,70,89,"4,748","3,819",355,288
2017,Gangseo-gu,36,"1,180","26,594","13,652","12,942","1,760",238,"1,522",191,82,109,"4,574","4,541",424,344
2017,Guro-gu,24,821,"18,965","9,696","9,269","1,313",167,"1,146",118,47,71,"2,948","3,469",308,233
2017,Geumcheon-gu,18,446,"9,030","4,599","4,431",731,119,612,85,34,51,"1,523","1,612",202,156
2017,Yeongdeungpo-gu,23,675,"13,905","7,220","6,685","1,092",139,953,117,50,67,"2,323","2,369",300,215
2017,Dongjak-gu,21,682,"16,698","8,659","8,039","1,075",140,935,110,51,59,"2,772","2,957",259,212
2017,Gwanak-gu,22,724,"16,227","8,325","7,902","1,170",155,"1,015",101,44,57,"2,783","2,779",279,224
2017,Seocho-gu,24,866,"22,939","11,725","11,214","1,343",120,"1,223",136,58,78,"3,958","4,038",304,208
2017,Gangnam-gu,33,970,"24,371","12,738","11,633","1,595",130,"1,465",169,70,99,"4,558","3,953",442,359
2017,Songpa-gu,39,"1,313","31,191","16,040","15,151","2,103",203,"1,900",197,77,120,"5,402","5,301",464,380
2017,Gang Dong-gu,27,900,"20,161","10,606","9,555","1,442",176,"1,266",122,55,67,"3,521","3,411",364,255
2018,Seoul,603,"18,585","424,800","218,464","206,336","28,992","3,791","25,201","3,025","1,313","1,712","67,742","70,686","7,210","5,892"
2018,Jongno-gu,13,277,"5,507","2,844","2,663",446,61,385,56,27,29,904,861,114,98
2018,Jung-gu,12,246,"5,226","2,557","2,669",398,63,335,73,38,35,832,897,117,99
2018,Yongsan-gu ,15,357,"7,460","3,833","3,627",578,68,510,67,28,39,"1,211","1,225",188,117
2018,Seongdong-gu,21,585,"11,922","6,068","5,854",972,124,848,112,55,57,"1,855","2,109",201,234
2018,Gwangjin-gu,22,656,"15,016","7,669","7,347","1,020",138,882,118,59,59,"2,364","2,494",218,206
2018,Dongdaemun-gu,21,621,"13,721","7,093","6,628",968,117,851,114,60,54,"2,132","2,309",278,209
